duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
0.0,0,29,9,0.1996555040097263,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0,1,9,0.1996555040097263,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0,29,3,0.3126720460332022,0.23292192720075228,0,0.0,0.0,0.0,0.0019569471624266144,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.00392156862745098,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0.0,0,29,3,0.3126720460332022,0.23292192720075228,0,0.0,0.0,0.0019569471624266144,0.003913894324853229,0.0,0.0,0,0,1.0,0.0,0.5,0.00392156862745098,0.00784313725490196,1.0,0.0,0.0,0.5,0.0,0.0,0,0
0.0,0,29,3,0.3126720460332022,0.23292192720075228,0,0.0,0.0,0.003913894324853229,0.005870841487279843,0.0,0.0,0,0,1.0,0.0,0.33,0.00784313725490196,0.011764705882352941,1.0,0.0,0.0,0.33,0.0,0.0,0,0
0.0,0,29,3,0.3126720460332022,0.23292192720075228,0,0.0,0.0,0.005870841487279843,0.007827788649706457,0.0,0.0,0,0,1.0,0.0,0.25,0.011764705882352941,0.01568627450980392,1.0,0.0,0.0,0.25,0.0,0.0,0,0
0.0,0,29,3,0.3126720460332022,0.23292192720075228,0,0.0,0.0,0.007827788649706457,0.009784735812133072,0.0,0.0,0,0,1.0,0.0,0.2,0.01568627450980392,0.0196078431372549,1.0,0.0,0.0,0.2,0.0,0.0,0,0
0.0,0,29,3,0.3126720460332022,0.23292192720075228,0,0.0,0.0,0.009784735812133072,0.011741682974559686,0.0,0.0,0,0,1.0,0.0,0.17,0.0196078431372549,0.023529411764705882,1.0,0.0,0.0,0.17,0.0,0.0,0,0
0.0,0,29,3,0.3126720460332022,0.23292192720075228,0,0.0,0.0,0.011741682974559686,0.0136986301369863,0.0,0.0,0,0,1.0,0.0,0.14,0.023529411764705882,0.027450980392156862,1.0,0.0,0.0,0.14,0.0,0.0,0,0
0.0,0,29,3,0.3126720460332022,0.23292192720075228,0,0.0,0.0,0.0136986301369863,0.015655577299412915,0.0,0.0,0,0,1.0,0.0,0.12,0.027450980392156862,0.03137254901960784,1.0,0.0,0.0,0.12,0.0,0.0,0,0
1.6666666666666667e-05,0,29,0,0.37147877449172023,0.3936917497320604,0,0.0,0.0,0.0,0.01761252446183953,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.03529411764705882,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0.0,0,5,3,0.2277231810217054,0.19028409428615503,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.00392156862745098,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
0.0,0,29,3,0.3126720460332022,0.23292192720075228,0,0.0,0.0,0.0,0.0019569471624266144,0.0,0.0,0,0,0.0,0.0,1.0,0.03137254901960784,0.0392156862745098,1.0,0.0,0.0,0.2,0.0,0.0,0,0
0.0,0,29,3,0.3126720460332022,0.23292192720075228,0,0.0,0.0,0.0019569471624266144,0.003913894324853229,0.0,0.0,0,0,1.0,0.0,0.5,0.03529411764705882,0.043137254901960784,1.0,0.0,0.0,0.18,0.0,0.0,0,0
0.0,0,29,3,0.3126720460332022,0.23292192720075228,0,0.0,0.0,0.003913894324853229,0.005870841487279843,0.0,0.0,0,0,1.0,0.0,0.33,0.0392156862745098,0.047058823529411764,1.0,0.0,0.0,0.17,0.0,0.0,0,0
0.0,0,29,3,0.3126720460332022,0.23292192720075228,0,0.0,0.0,0.005870841487279843,0.007827788649706457,0.0,0.0,0,0,1.0,0.0,0.25,0.043137254901960784,0.050980392156862744,1.0,0.0,0.0,0.15,0.0,0.0,0,0
0.0,0,29,3,0.3126720460332022,0.23292192720075228,0,0.0,0.0,0.007827788649706457,0.009784735812133072,0.0,0.0,0,0,1.0,0.0,0.2,0.047058823529411764,0.054901960784313725,1.0,0.0,0.0,0.14,0.0,0.0,0,0
0.0,0,29,3,0.3126720460332022,0.23292192720075228,0,0.0,0.0,0.009784735812133072,0.011741682974559686,0.0,0.0,0,0,1.0,0.0,0.17,0.050980392156862744,0.058823529411764705,1.0,0.0,0.0,0.13,0.0,0.0,0,0
0.0,0,29,4,0.23076319313112878,0.20501148202575467,0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.06274509803921569,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0.0,0,29,4,0.23076319313112878,0.20501148202575467,0,0.0,0.0,0.0019569471624266144,0.015655577299412915,0.0,0.0,0,0,1.0,0.0,0.88,0.00392156862745098,0.06666666666666667,1.0,0.0,0.0,0.94,0.0,0.0,0,0
0.0,0,29,4,0.23076319313112878,0.20501148202575467,0,0.0,0.0,0.003913894324853229,0.01761252446183953,0.0,0.0,0,0,1.0,0.0,0.78,0.00784313725490196,0.07058823529411765,1.0,0.0,0.0,0.89,0.0,0.0,0,0
